"
                    2021-05-11
                ",蒙奇D,非传统日本黑道故事。电影大概分为三个部分，一开始是男主小混混得到老大赏识，从而加入黑道；然后是几年之后，男主成为黑道的中流砥柱，在帮派斗争中，男主杀人入狱；最后是十几年后男主出狱的故事。前两部分是很多电影讲过的内容，忠、义、爱，差一点点就流俗了。第三部分占全片一多半的时间，男主出狱后面对的是日本黑道的没落。不是他那一派系的失势，而是日本政府正式实施《暴力团排除条例》后对全部黑道的打击。所以电影里那种黑道生活的消失和对往日荣光的缅怀竟然有了一点史诗的感觉，是个人无力对抗的风云变迁。原来的人死的死、老的老、走的走，唯一能保留体面的方式恐怕只有死去这一条路了。绫野刚加入黑道认义父那场戏真帅。画幅也很特别，前两部分宽高比应该是2.40:1，最后一部分是奇怪的1.56:1。,allstar40,推荐
"
                    2021-05-12
                ",RealityBites,看之前也是没想到是这么一出心酸的日本黑帮消亡史。时代变了，昔日黑帮从业人员已没有生存空间，残酷啊，多少年后是不是也没人拍黑帮片了？二把手形象气质上有点像极恶非道里的加濑亮，看的时候总以为他是啥小人，没想到竟是真忠犬…刚哥真的太好了5555，心要为刚哥碎完了。,allstar40,推荐
"
                    2021-05-12
                ",沙漠中的西蒙,片名应该叫黑道末日更贴近一些，一般化吧。,allstar20,较差
"
                    2021-05-10
                ",文森特九六,极道时代的落幕，包括这个电影类型。但梳理下来似乎并未真的去剖析黑帮文化衰退的根源，政府的新规与时间，在这次藤井道人的影像中成为一种模糊的哀怨，到底还是服务于绫野刚个人的心境变化，却远不如昭和时期的挽歌来得残酷真实以及具备强烈的代表性与概括度。电影对极道们是充满怀念的，片尾两位年轻人试图重述，无奈一切早已随海涛冲散，却也是对一种精神倾情般的立场单一化，辩证精神仅停留在善恶的面孔，绫野刚的表演还不具备菅野文太与渡哲也们的复杂层次，刻意与冒充痕迹仍较重，从馆博到丰原再到刚，一种表演气质亦在消逝。本片未能成为它试图去代表的，却无意中让自身也成为了被淹没的。,allstar30,还行
"
                    2021-05-22
                ",道哥聊片儿,绫野刚再度贡献影帝级别的表演6.9，非常好，另类黑帮片。,allstar40,推荐
"
                    2021-05-08
                ",Avalon,成长史！,allstar30,还行
"
                    2021-05-24
                ",白爷爷,剛哥也太慘了TOT哭死了 之前聽說過日本對黑道的很多政策  比如買手機那個 想起了認識的一個人 不知道他待在自己那個小小的房間裡的時候 在想些什麼 是不是也回顧下他自己的一生 會不會想念他不太見得到面的孩子 不過 他也過世了,allstar40,推荐
"
                    2021-05-22
                ",陈囿,后面煽情太过了吧,allstar30,还行
"
                    2021-05-22
                ",蛾,绫野刚也太好看了吧？前面以为是无聊的黑帮片 从入狱开始整个故事都变得迷人了起来,allstar40,推荐
"
                    2021-05-11
                ",小J²,平平无奇命题作文。,allstar30,还行
"
                    2021-05-20
                ",芬芬达,辉煌且落寞,allstar40,推荐
"
                    2021-05-12
                ",Lazy Designer,市原隼人的气场反而比较足；绫野刚怎么看怎么只是像地痞无赖而已。小组织混得也太艰难了点吧，无论是论写实还是论情怀，咋看也比不上极恶。21/05/12,allstar30,还行
"
                    2021-05-17
                ",求诸己,如今完全大情节叙事不多见了，也正跟やくざ和他们的任侠道一样。片头结缘盃事的运镜和职员表呈现形式完全就是致敬老黑帮片，剧情上也明显借鉴了深作欣二的《狂犬三兄弟》和三池崇史的《新仁义的墓场》，导演的功力比孤狼之血要用心得多。,allstar30,还行
"
                    2021-05-25
                ",Entrop1e,3.6/选择了非常有代表性的三个时间节点 绫野刚好帅啊 黑道中的柔情,allstar40,推荐
"
                    2021-05-23
                ",夏草,黑道的没落之路，想了想，贤治的结局也只能是这样了,allstar40,推荐
"
                    2021-05-13
                ",Craft Bear,黑帮文化是日本社会的一个畸形产物，不同于现在的黑社会，较之有着更加严格的规矩，这部片子就是描述了一个黑帮的衰落，从而反映出整个这个特殊群体的现状。要说日本对于黑帮的惩治可谓极其严酷，只要是黑帮分子，即便退出帮派，在相当长的时间里，都不能以一个正常人的状态存活于世。而取而代之的黑社会依然干着黑帮原来的事情，但却逃避掉政府的打击。在这部片子里，能看到香港黑帮电影中所描述的忠信礼义和快意恩仇，只不过香港电影要火爆的多，而这部片子却比较沉闷，但依然刚毅。,allstar40,推荐
"
                    2021-05-14
                ",宽松睡裤又如何,声画有许多亮点，仅挑一处印象深刻的说说。片尾刚哥在海边栈道陷入沉思，背景声是影片刚开始时刚哥少年时和同伴初入江湖的那段机车声，恍如隔世。随后他就迎来了属于他自己的命运。这个处理很微妙，既能服务于剧情，又刻画了人物的内心。刚哥饰演了一个横跨三个年龄跨度的男性且游刃有余。真是一位好演员！,allstar40,推荐
"
                    2021-05-24
                ",荆棘鸟,最后出狱后的编剧，一味追求意识形态，转折难以信服。,allstar30,还行
"
                    2021-05-12
                ",罗洋,值得一看，近年来最好的黑帮片,allstar40,推荐
"
                    2021-05-12
                ",巨米雨,给满分不是说有满分，而且这片子我可能得回去三遍伊吹蓝我才能缓过来。先说缺点，编剧导演是同一个人，86年的真年轻啊，看得出不管剧本还是片子节奏的掌控，都有稚嫩生硬之处，但以导演的年纪来说已经做得足够好了。题材不是我有兴趣的，若不是有刚哥不会点开，但比我想象中要好看，比较喜欢后半段，虽然看得很难过但情感上是饱满的，层层推进得很好，最喜欢男女主谈恋爱的那几段，难得的温情可爱，最后一幕多少也是点希望吧，山本这个角色，一直在为他人活着，先是为了最后的辉煌后来为了保护年轻一代，他应该是觉得值得的吧？多给一星是给刚哥的表演，片里他最大的时候跟他现在同岁吧？但角色的沧桑和老态他把握得很好，相比下第二段更像现在的刚哥，在这两段肢体和神态的对比中真是完美展现刚哥业务，作为观众有享受到因为出色表演带来的快感，感谢,allstar50,力荐
"
                    2021-05-13
                ",告别悲伤,镜头用的不错。伴随着时代的变化是黑道的没落,allstar40,推荐
"
                    2021-05-13
                ",jessefan,本来以为是一种记录片的，看完后就上头了。,allstar50,力荐
"
                    2021-05-17
                ",C酱,这个角度还挺妙的，两个时间点的对比还挺唏嘘的,allstar20,较差
"
                    2021-05-16
                ",重任在肩,失望，极道论与痞子情感展现都特别不协调，男主角色极差既不老式硬朗也不新潮浪漫，深作欣二和菅原文太天上看了完全能说当今日本无黑道。,allstar40,推荐
"
                    2021-05-15
                ",晚饭想吃麻辣烫,一部日本黑帮版的《爱尔兰人》，只是第三部分的煽情处理的太过了，和前两段的割裂感太严重了。,allstar30,还行
"
                    2021-05-25
                ",言之命至,"一曲关于拥有荣誉感和责任感的古典黑帮精神的时代挽歌。虽然影片绝大部分时间都弥漫着一层无以言说的伤感与无奈，但最后一幕的海边，当两个年轻人相遇时，又会让人感到无比美好与宽慰。一个时代总会逝去，也总会留下一些传说，存在于人们的口中与心里，那是永远不会随时间消逝的，被称为人的精神。",allstar40,推荐
"
                    2021-05-24
                ",四月物语,背负的命运不那么容易抹去,allstar50,力荐
"
                    2021-05-15
                ",zearq,86年的导演,allstar40,推荐
"
                    2021-05-11
                ",洋葱君,现代黑帮消亡实录,allstar40,推荐
"
                    2021-05-09
                ",大洋洲,真的观看起来，花费的时间要比想象中的长很多。以前看到绫野刚，会觉得：这个人怎么时而帅气，时而土鳖呢？现在看到刚子，直接就是“hi，美女！”,allstar40,推荐
"
                    2021-05-14
                ",张三和李四,味道不一样的黑帮片！,allstar30,还行
"
                    2021-05-18
                ",横丫肠,過於生活化拉低了對時代的映射。,allstar40,推荐
"
                    2021-05-09
                ",cao,黑道的落寞,allstar40,推荐
"
                    2021-05-10
                ",倚风帘,一曲对黑帮文化没落的哀歌。20年的跨度，却转眼从兴盛到难以为继，这是整个日本极道的缩影。电影也有意思的将第三段的时间点设在2019这个平成变成令和的年份，更凸显着时代与文化的更替，老一辈的退出，新一代的崛起，但yakuza自此成为历史。电影的质感很好，前三分之二是准5星水平，但之后偏要与互联网牵扯，就显的过于刻意与不符合逻辑了，太过败笔。,allstar30,还行
"
                    2021-02-01
                ",ekling,末代黑道编年史 看完让我想去了解日本为排除反社会势力做的努力 一些规矩意外的似乎正好在我来日本前不久才有 真正的ヤクザ渐渐弱势 半グレ成了新的地下领导者 它们不是黑道生活自由 却做着或许更脏更狠的事 不过导演想要的太多了 结果就是看完之后尿了很多 刚哥这部比之前一部好不少,allstar40,推荐
"
                    2021-01-31
                ",Ｓ．,今年开年最佳日影。日本社会的变迁，暴力团的终焉。命运的轮回连锁。是恶人，也是渴望羁绊的普通人。一代人老去且绝望的命运，但新生代总蕴含着改变和希望。看哭了。刚哥太棒。mp的歌也巨好听，井口理唱的好。推荐。,allstar40,推荐
"
                    2021-05-23
                ",彻夜疯歌,"日本黑帮的迟暮哀歌。
前半段还行没啥大毛病，后半段男主出狱后有点垮了。
不清楚日本黑帮具体现状，单以我个人的观感来说，后半段似有用力过猛之嫌。
结尾女儿前往海边献花的情节，虽说有点违和离谱，相对于整个故事走向来说。但是看到男主堪称悲惨的一生，死后还有人记得他，他的女儿会来给他献花，还愿意了解他这个失意且失败的前黑帮父亲，也算是种欣慰，多少能让人愿意忽视其合理性，选择接受这样的结局。
25岁男主的黑帮气质也是绝了。
整体来说，一个不算完美但也中规中矩的黑帮故事(算不得史诗)，抛开一些违和的地方，个人还是蛮喜欢这个故事的。
刚看完时出于个人喜爱之情想给五星的，心情平复过后冷静思考觉得还是4.5为妥，在敲下上面的评论之时，脑海里同时回味着剧情，咀嚼出其中不足和弊端，最终决定给予四星。Y

",allstar30,还行
"
                    2021-05-14
                ",只抓住6个,黑道世家的恩怨传承,allstar40,推荐
"
                    2021-05-14
                ",西南城角,镜头所到之处，多是阴暗的夜间、夜间以及暮色，稍感压抑、沉重，影片中数次出现烟囱，从腾腾冒烟到画面静止，无不意味着时代变迁、英雄落幕、烟消云散，盗亦有道，一报还一报，一切皆有因果，有些领域自从踏入了就没有回头路，拯救只能靠自己。故事写得不错，数个写意之处深有意味。,allstar40,推荐
"
                    2021-05-20
                ",RICK_小锋,"“日本黑帮承担着责任和荣耀，大家都为努力做一个绅士，在成为一个真正的男人的道路上不断探索。 ”
作为一部黑帮片，有一种英雄落幕的苍凉感。表面上讲的是黑帮的故事，但其实说的还是人生。男主演的挺好。",allstar30,还行
"
                    2021-05-13
                ",賴床不起。,一个时代的终结,allstar30,还行
"
                    2021-05-09
                ",大洋洲,真的观看起来，花费的时间要比想象中的长很多。以前看到绫野刚，会觉得：这个人怎么时而帅气，时而土鳖呢？现在看到刚子，直接就是“hi，美女！”,allstar40,推荐
"
                    2021-05-14
                ",张三和李四,味道不一样的黑帮片！,allstar40,推荐
"
                    2021-05-08
                ",梦之安魂曲,整体还可以，但拍得不够好看。,allstar30,还行
"
                    2021-05-09
                ",Pocky,黑帮被边缘化的历史被后半段过度煽情的剧情削弱了，出狱归来发现自己有女儿的老套剧情实在是提不起劲。全片朦胧的氛围、阴沉的摄影手法还是有点感觉的，但还是那句“古惑仔是没有前途的”,allstar30,还行
"
                    2021-05-14
                ",HelloIndra,〖20210514〗是不要做黑道不要贩毒的法制宣传片么,allstar30,还行
